input_text,target_text
"Subject: Mobile App Development, Level: Advanced","Mastering React Native and Flutter, Advanced practices in Dart, Capstone Project using Swift and Kotlin"
"Subject: DevOps, Level: Advanced","Mastering Docker and CI/CD, Advanced practices in AWS, Capstone Project using Infrastructure as Code and Kubernetes"
"Subject: Ruby, Level: Advanced","Mastering Web Development and Rails, Advanced practices in ActiveRecord, Capstone Project using OOP and Ruby"
"Subject: Angular, Level: Advanced","Mastering Angular and Components, Advanced practices in Web Development, Capstone Project using JavaScript and TypeScript"
"Subject: Data Science, Level: Beginner","Introduction to Machine Learning, Basics of Python and NumPy, Projects on Pandas"
"Subject: Machine Learning, Level: Beginner","Introduction to Supervised Learning, Basics of Python and TensorFlow, Projects on Neural Networks"
"Subject: Agile Project Management, Level: Intermediate","Deep dive into Sprint Planning and Scrum, Advanced Agile concepts, Hands-on project with Kanban"
"Subject: Mobile App Development, Level: Beginner","Introduction to React Native, Basics of Swift and Dart, Projects on Kotlin"
"Subject: Docker, Level: Beginner","Introduction to Docker, Basics of Kubernetes and Containers, Projects on CI/CD"
"Subject: Data Warehousing, Level: Beginner","Introduction to SQL, Basics of Data Warehousing and ETL, Projects on Big Data"
"Subject: Hadoop, Level: Advanced","Mastering MapReduce and Distributed Systems, Advanced practices in Hadoop, Capstone Project using Big Data and Data Storage"
"Subject: Google Cloud Platform, Level: Beginner","Introduction to Kubernetes Engine, Basics of GCP and Compute Engine, Projects on BigQuery"
"Subject: Agile Project Management, Level: Beginner","Introduction to Scrum, Basics of Sprint Planning and Agile, Projects on Kanban"
"Subject: Kubernetes, Level: Beginner","Introduction to Cloud Deployment, Basics of Containers and Kubernetes, Projects on CI/CD"
"Subject: Digital Marketing, Level: Beginner","Introduction to Content Marketing, Basics of Google Analytics and SEO, Projects on Social Media Marketing"
"Subject: Cloud Computing, Level: Intermediate","Deep dive into EC2 and Google Cloud, Advanced S3 concepts, Hands-on project with Azure"
"Subject: UI/UX Design, Level: Intermediate","Deep dive into Usability Testing and Figma, Advanced Wireframing concepts, Hands-on project with User Research"
"Subject: Angular, Level: Advanced","Mastering TypeScript and Angular, Advanced practices in JavaScript, Capstone Project using Web Development and Components"
