course_name,basic_concepts,intermediate_concepts,advanced_concepts,estimated_time_basic,estimated_time_intermediate,estimated_time_advanced
Mobile App Development,"Introduction to Swift, Basics of Flutter and Kotlin, Projects on Dart","Deep dive into Kotlin and Dart, Advanced Swift concepts, Hands-on project with Flutter","Mastering Kotlin and Flutter, Advanced practices in Dart, Capstone Project using React Native and Swift",2-3 weeks,4-5 weeks,6-8 weeks
DevOps,"Introduction to Docker, Basics of CI/CD and Infrastructure as Code, Projects on AWS","Deep dive into AWS and Kubernetes, Advanced CI/CD concepts, Hands-on project with Infrastructure as Code","Mastering Kubernetes and Infrastructure as Code, Advanced practices in AWS, Capstone Project using Docker and CI/CD",2-3 weeks,4-5 weeks,6-8 weeks
Ruby,"Introduction to ActiveRecord, Basics of Rails and OOP, Projects on Web Development","Deep dive into Ruby and OOP, Advanced Web Development concepts, Hands-on project with ActiveRecord","Mastering Rails and Ruby, Advanced practices in Web Development, Capstone Project using OOP and ActiveRecord",2-3 weeks,4-5 weeks,6-8 weeks
Angular,"Introduction to JavaScript, Basics of Components and TypeScript, Projects on Angular","Deep dive into Components and JavaScript, Advanced TypeScript concepts, Hands-on project with Web Development","Mastering Web Development and Components, Advanced practices in JavaScript, Capstone Project using TypeScript and Angular",2-3 weeks,4-5 weeks,6-8 weeks
Data Science,"Introduction to Python, Basics of NumPy and Machine Learning, Projects on Pandas","Deep dive into NumPy and Machine Learning, Advanced Python concepts, Hands-on project with Data Visualization","Mastering Data Visualization and NumPy, Advanced practices in Pandas, Capstone Project using Machine Learning and Python",2-3 weeks,4-5 weeks,6-8 weeks
Machine Learning,"Introduction to Supervised Learning, Basics of Neural Networks and Unsupervised Learning, Projects on TensorFlow","Deep dive into Supervised Learning and TensorFlow, Advanced Neural Networks concepts, Hands-on project with Unsupervised Learning","Mastering Neural Networks and Unsupervised Learning, Advanced practices in TensorFlow, Capstone Project using Python and Supervised Learning",2-3 weeks,4-5 weeks,6-8 weeks
Agile Project Management,"Introduction to Scrum, Basics of Jira and Sprint Planning, Projects on Agile","Deep dive into Sprint Planning and Kanban, Advanced Scrum concepts, Hands-on project with Agile","Mastering Sprint Planning and Kanban, Advanced practices in Agile, Capstone Project using Scrum and Jira",2-3 weeks,4-5 weeks,6-8 weeks
Docker,"Introduction to Containers, Basics of CI/CD and Docker, Projects on Kubernetes","Deep dive into CI/CD and Microservices, Advanced Containers concepts, Hands-on project with Kubernetes","Mastering Docker and Microservices, Advanced practices in CI/CD, Capstone Project using Kubernetes and Containers",2-3 weeks,4-5 weeks,6-8 weeks
Data Warehousing,"Introduction to Data Integration, Basics of ETL and Data Warehousing, Projects on SQL","Deep dive into Data Integration and Big Data, Advanced Data Warehousing concepts, Hands-on project with SQL","Mastering ETL and Data Integration, Advanced practices in Data Warehousing, Capstone Project using SQL and Big Data",2-3 weeks,4-5 weeks,6-8 weeks
Hadoop,"Introduction to Data Storage, Basics of Big Data and MapReduce, Projects on Distributed Systems","Deep dive into Hadoop and Distributed Systems, Advanced MapReduce concepts, Hands-on project with Data Storage","Mastering MapReduce and Big Data, Advanced practices in Distributed Systems, Capstone Project using Hadoop and Data Storage",2-3 weeks,4-5 weeks,6-8 weeks
Google Cloud Platform,"Introduction to BigQuery, Basics of GCP and Compute Engine, Projects on Kubernetes Engine","Deep dive into BigQuery and GCP, Advanced Cloud Functions concepts, Hands-on project with Kubernetes Engine","Mastering BigQuery and GCP, Advanced practices in Compute Engine, Capstone Project using Kubernetes Engine and Cloud Functions",2-3 weeks,4-5 weeks,6-8 weeks
Kubernetes,"Introduction to Containers, Basics of Kubernetes and CI/CD, Projects on Microservices","Deep dive into Containers and CI/CD, Advanced Cloud Deployment concepts, Hands-on project with Microservices","Mastering Cloud Deployment and CI/CD, Advanced practices in Containers, Capstone Project using Microservices and Kubernetes",2-3 weeks,4-5 weeks,6-8 weeks
Digital Marketing,"Introduction to SEO, Basics of Google Analytics and Content Marketing, Projects on Email Marketing","Deep dive into Social Media Marketing and SEO, Advanced Email Marketing concepts, Hands-on project with Content Marketing","Mastering Social Media Marketing and SEO, Advanced practices in Google Analytics, Capstone Project using Email Marketing and Content Marketing",2-3 weeks,4-5 weeks,6-8 weeks
